id,genealogy_id,name,gender,birth_year,death_year,bio,generation
cmpdy4weh00041op1x84k6s5r,cmpdy4wee00031op1tn23k2yz,张勇,M,1000,1070,,1
cmpdy4wei00051op1yvwt76b3,cmpdy4wee00031op1tn23k2yz,张燕,F,1005,1075,,1
cmpdy4weo00071op1yhmd5ewm,cmpdy4wee00031op1tn23k2yz,张兰,F,1045,1099,,2
cmpdy4weo00091op1gmv1l4n8,cmpdy4wee00031op1tn23k2yz,张军,M,1050,1112,,2
cmpdy4weo00081op1bcuw6ilh,cmpdy4wee00031op1tn23k2yz,张秀兰,M,1049,1133,,2
cmpdy4wf8000i1op13x5lt6cr,cmpdy4wee00031op1tn23k2yz,张凤,F,1079,1145,,3
cmpdy4wf8000f1op1harcr51r,cmpdy4wee00031op1tn23k2yz,张勇,M,1071,1130,,3
cmpdy4wf8000l1op10z19l2x0,cmpdy4wee00031op1tn23k2yz,张涛,M,1073,1134,,3
cmpdy4wf8000g1op138snnzls,cmpdy4wee00031op1tn23k2yz,张明,M,1076,1148,,3
cmpdy4wf8000h1op1d2kedd98,cmpdy4wee00031op1tn23k2yz,张强,M,1070,1137,,3
cmpdy4wf8000k1op1rko4tycn,cmpdy4wee00031op1tn23k2yz,张丽,M,1079,1146,,3
cmpdy4wf8000m1op1kwipk44t,cmpdy4wee00031op1tn23k2yz,张秀兰,M,1077,1148,,3
cmpdy4wf8000j1op1oav853dc,cmpdy4wee00031op1tn23k2yz,张丽,M,1072,1122,,3
cmpdy4wf8000e1op1wu6y54id,cmpdy4wee00031op1tn23k2yz,张娜,M,1078,1136,,3
cmpdy4wfj001f1op1lq1odstw,cmpdy4wee00031op1tn23k2yz,张珍,F,1103,1158,,4
cmpdy4wfj001e1op1pjzdguag,cmpdy4wee00031op1tn23k2yz,张秀英,M,1100,1178,,4
cmpdy4wfj001n1op1eq2rbazp,cmpdy4wee00031op1tn23k2yz,张勇,M,1098,1150,,4
cmpdy4wfj001j1op17ffk4zb7,cmpdy4wee00031op1tn23k2yz,张兰,F,1100,1166,,4
cmpdy4wfj001i1op1opkl2mgi,cmpdy4wee00031op1tn23k2yz,张萍,F,1103,1153,,4
cmpdy4wfj00181op1sgwqwb57,cmpdy4wee00031op1tn23k2yz,张红,F,1096,1147,,4
cmpdy4wfj001h1op1avobgcsl,cmpdy4wee00031op1tn23k2yz,张丽,M,1099,1153,,4
cmpdy4wfj001g1op12ucerb4p,cmpdy4wee00031op1tn23k2yz,张英,F,1103,1178,,4
cmpdy4wfj001p1op1qp5flnos,cmpdy4wee00031op1tn23k2yz,张敏,M,1103,1153,,4
cmpdy4wfj00151op1p8ytwz7n,cmpdy4wee00031op1tn23k2yz,张艳,M,1099,1152,,4
cmpdy4wfj00191op1j4zc7608,cmpdy4wee00031op1tn23k2yz,张云,F,1105,1170,,4
cmpdy4wfj001c1op1yz8bay89,cmpdy4wee00031op1tn23k2yz,张红,F,1095,1171,,4
cmpdy4wfj00161op1p06o5zvf,cmpdy4wee00031op1tn23k2yz,张青,F,1095,1156,,4
cmpdy4wfj001m1op175elba1l,cmpdy4wee00031op1tn23k2yz,张芬,F,1096,1154,,4
cmpdy4wfj00141op1s566wi3s,cmpdy4wee00031op1tn23k2yz,张萍,F,1096,1164,,4
cmpdy4wfj001o1op1nf99kx8t,cmpdy4wee00031op1tn23k2yz,张秀英,M,1096,1177,,4
cmpdy4wfj00131op1y3nezmor,cmpdy4wee00031op1tn23k2yz,张兰,F,1096,1163,,4
cmpdy4wfj001b1op1asaidb3m,cmpdy4wee00031op1tn23k2yz,张菊,F,1103,1179,,4
cmpdy4wfj001a1op1kbfg19mt,cmpdy4wee00031op1tn23k2yz,张平,M,1103,1158,,4
cmpdy4wfj00171op1dlep8kze,cmpdy4wee00031op1tn23k2yz,张超,M,1100,1171,,4
cmpdy4wfj001k1op1zmuaviwj,cmpdy4wee00031op1tn23k2yz,张云,F,1095,1157,,4
cmpdy4wfj001l1op1jv62as5k,cmpdy4wee00031op1tn23k2yz,张丽,M,1101,1151,,4
cmpdy4wfj001d1op18tqogdfp,cmpdy4wee00031op1tn23k2yz,张燕,F,1098,1176,,4
cmpdy4wfw002h1op1a8iekxf7,cmpdy4wee00031op1tn23k2yz,张静,M,1123,1201,,5
cmpdy4wfv00291op1gq7vrbxw,cmpdy4wee00031op1tn23k2yz,张丽,M,1121,1176,,5
cmpdy4wfw002m1op1vce0o9ma,cmpdy4wee00031op1tn23k2yz,张红,F,1128,1213,,5
cmpdy4wfw002z1op1y7mhys0a,cmpdy4wee00031op1tn23k2yz,张玉,F,1128,1190,,5
cmpdy4wfw002r1op1w4faml27,cmpdy4wee00031op1tn23k2yz,张雪,F,1127,1198,,5
cmpdy4wfw002o1op1s31m861j,cmpdy4wee00031op1tn23k2yz,张兰,F,1128,1187,,5
cmpdy4wfw002f1op1t4vexuc6,cmpdy4wee00031op1tn23k2yz,张丽,M,1123,1182,,5
cmpdy4wfv002e1op1zrub8j8h,cmpdy4wee00031op1tn23k2yz,张菊,F,1122,1188,,5
cmpdy4wfv00281op1opa8f4yl,cmpdy4wee00031op1tn23k2yz,张凤,F,1127,1196,,5
cmpdy4wfw00311op1umksi23e,cmpdy4wee00031op1tn23k2yz,张磊,M,1121,1174,,5
cmpdy4wfw00301op1ibnl4hlo,cmpdy4wee00031op1tn23k2yz,张霞,M,1126,1192,,5
cmpdy4wfw002q1op1p3ap5zcc,cmpdy4wee00031op1tn23k2yz,张兰,F,1126,1204,,5
cmpdy4wfw002k1op1h3pv8hjw,cmpdy4wee00031op1tn23k2yz,张秀英,M,1125,1202,,5
cmpdy4wfw002u1op11wg2hbzr,cmpdy4wee00031op1tn23k2yz,张兰,F,1129,1188,,5
cmpdy4wfw002j1op1nqv07vzm,cmpdy4wee00031op1tn23k2yz,张丹,F,1121,1198,,5
cmpdy4wfw002w1op1l30zyd63,cmpdy4wee00031op1tn23k2yz,张月,F,1129,1203,,5
cmpdy4wfw002i1op1580sz928,cmpdy4wee00031op1tn23k2yz,张萍,F,1122,1196,,5
cmpdy4wfv002c1op10t2zoeil,cmpdy4wee00031op1tn23k2yz,张香,F,1130,1203,,5
cmpdy4wfw002g1op1z21c6bm2,cmpdy4wee00031op1tn23k2yz,张英,F,1125,1195,,5
cmpdy4wfv002b1op1tiai61p5,cmpdy4wee00031op1tn23k2yz,张平,M,1122,1175,,5
cmpdy4wfv002a1op1t40dlj9p,cmpdy4wee00031op1tn23k2yz,张翠,F,1130,1187,,5
cmpdy4wfv002d1op1if6cjn7w,cmpdy4wee00031op1tn23k2yz,张萍,F,1129,1195,,5
cmpdy4wfw002v1op1zsvzutan,cmpdy4wee00031op1tn23k2yz,张兰,F,1125,1201,,5
cmpdy4wfw002t1op12olxtyyi,cmpdy4wee00031op1tn23k2yz,张秀英,M,1129,1203,,5
cmpdy4wfw002l1op1xs9lffvg,cmpdy4wee00031op1tn23k2yz,张杰,M,1126,1209,,5
cmpdy4wfw002n1op1l3gz5yvv,cmpdy4wee00031op1tn23k2yz,张红,F,1130,1206,,5
cmpdy4wfw002y1op11q3dojq0,cmpdy4wee00031op1tn23k2yz,张萍,F,1130,1214,,5
cmpdy4wfw002p1op1r8spesb5,cmpdy4wee00031op1tn23k2yz,张勇,M,1122,1176,,5
cmpdy4wfw002s1op1c3rnfcpb,cmpdy4wee00031op1tn23k2yz,张强,M,1124,1180,,5
cmpdy4wfw002x1op16j52boca,cmpdy4wee00031op1tn23k2yz,张香,F,1124,1203,,5
cmpdy4wg800411op1wf1ef3lw,cmpdy4wee00031op1tn23k2yz,张强,M,1151,1212,,6
cmpdy4wg800471op1tkm6xaww,cmpdy4wee00031op1tn23k2yz,张青,F,1151,1209,,6
cmpdy4wg8004g1op1ir013o0u,cmpdy4wee00031op1tn23k2yz,张珍,F,1146,1210,,6
cmpdy4wg8003q1op1b13u0waz,cmpdy4wee00031op1tn23k2yz,张伟,M,1149,1212,,6
cmpdy4wg8004b1op178kt9jdo,cmpdy4wee00031op1tn23k2yz,张梅,F,1151,1226,,6
cmpdy4wg800431op1hsryn88a,cmpdy4wee00031op1tn23k2yz,张燕,F,1155,1207,,6
cmpdy4wg8003x1op12mrwenum,cmpdy4wee00031op1tn23k2yz,张秀英,M,1149,1231,,6
cmpdy4wg8004a1op1vh4pmdvq,cmpdy4wee00031op1tn23k2yz,张军,M,1153,1224,,6
cmpdy4wg8003w1op1sc20oesf,cmpdy4wee00031op1tn23k2yz,张芳,M,1148,1204,,6
cmpdy4wg800461op12v0a5rn8,cmpdy4wee00031op1tn23k2yz,张军,M,1148,1204,,6
cmpdy4wg800441op1kxljwp86,cmpdy4wee00031op1tn23k2yz,张云,F,1153,1211,,6
cmpdy4wg8004c1op19rlb5tyw,cmpdy4wee00031op1tn23k2yz,张玉,F,1150,1220,,6
cmpdy4wg8004e1op12gy5rn8g,cmpdy4wee00031op1tn23k2yz,张月,F,1154,1230,,6
cmpdy4wg8003u1op1gr4nmb0c,cmpdy4wee00031op1tn23k2yz,张云,F,1145,1206,,6
cmpdy4wg8004j1op1c654c11u,cmpdy4wee00031op1tn23k2yz,张杰,M,1154,1211,,6
cmpdy4wg8003r1op16gdrt21v,cmpdy4wee00031op1tn23k2yz,张玉,F,1147,1223,,6
cmpdy4wg8003z1op1oxkrj85n,cmpdy4wee00031op1tn23k2yz,张秀英,M,1148,1223,,6
cmpdy4wg8004i1op1z2nianol,cmpdy4wee00031op1tn23k2yz,张玉,F,1155,1231,,6
cmpdy4wg8003o1op1g67sez8u,cmpdy4wee00031op1tn23k2yz,张军,M,1148,1227,,6
cmpdy4wg8003p1op1vp2vl8yv,cmpdy4wee00031op1tn23k2yz,张超,M,1145,1222,,6
cmpdy4wg8003s1op139cubffr,cmpdy4wee00031op1tn23k2yz,张敏,M,1155,1227,,6
cmpdy4wg800491op1u1d94jno,cmpdy4wee00031op1tn23k2yz,张娜,M,1151,1228,,6
cmpdy4wg8004f1op1sdgv9per,cmpdy4wee00031op1tn23k2yz,张丹,F,1148,1203,,6
cmpdy4wg8003y1op1wag5smgi,cmpdy4wee00031op1tn23k2yz,张丹,F,1147,1222,,6
cmpdy4wg8003v1op1hjck2duk,cmpdy4wee00031op1tn23k2yz,张艳,M,1149,1207,,6
cmpdy4wg8004h1op1wzvy4vfb,cmpdy4wee00031op1tn23k2yz,张静,M,1155,1205,,6
cmpdy4wg800401op1nojjvz3a,cmpdy4wee00031op1tn23k2yz,张洋,M,1149,1206,,6
cmpdy4wg800421op1u5o6m83d,cmpdy4wee00031op1tn23k2yz,张青,F,1151,1208,,6
cmpdy4wg800481op144ah2eio,cmpdy4wee00031op1tn23k2yz,张秀英,M,1146,1230,,6
cmpdy4wg8004d1op1ayll74ky,cmpdy4wee00031op1tn23k2yz,张香,F,1154,1221,,6
cmpdy4wg8004k1op1rfrdlnv0,cmpdy4wee00031op1tn23k2yz,张雪,F,1150,1230,,6
cmpdy4wg8003t1op14m20t9cy,cmpdy4wee00031op1tn23k2yz,张涛,M,1149,1209,,6
cmpdy4wg800451op1rcw35184,cmpdy4wee00031op1tn23k2yz,张芳,M,1155,1233,,6
cmpdy4wgl006f1op17xc1dlkg,cmpdy4wee00031op1tn23k2yz,张芳,M,1177,1259,,7
cmpdy4wgl006p1op1pocpm796,cmpdy4wee00031op1tn23k2yz,张娜,M,1180,1251,,7
cmpdy4wgl005s1op1rj74ad91,cmpdy4wee00031op1tn23k2yz,张娜,M,1172,1222,,7
cmpdy4wgl005r1op1g8ryomob,cmpdy4wee00031op1tn23k2yz,张明,M,1177,1255,,7
cmpdy4wgl00741op120feokwq,cmpdy4wee00031op1tn23k2yz,张云,F,1175,1225,,7
cmpdy4wgl006t1op1mlwvxm0q,cmpdy4wee00031op1tn23k2yz,张英,F,1176,1251,,7
cmpdy4wgl006g1op1rrwxpwv6,cmpdy4wee00031op1tn23k2yz,张翠,F,1171,1238,,7
cmpdy4wgl006k1op12rv3ptu0,cmpdy4wee00031op1tn23k2yz,张芳,M,1170,1226,,7
cmpdy4wgl005n1op1oufosrv4,cmpdy4wee00031op1tn23k2yz,张云,F,1180,1261,,7
cmpdy4wgl00751op1tlicue7m,cmpdy4wee00031op1tn23k2yz,张凤,F,1177,1228,,7
cmpdy4wgl006s1op199h7ybgo,cmpdy4wee00031op1tn23k2yz,张翠,F,1177,1229,,7
cmpdy4wgl005y1op1fy1k5qfk,cmpdy4wee00031op1tn23k2yz,张明,M,1175,1252,,7
cmpdy4wgl00711op12pc1ws0d,cmpdy4wee00031op1tn23k2yz,张青,F,1174,1258,,7
cmpdy4wgl00651op15ttcpnq2,cmpdy4wee00031op1tn23k2yz,张强,M,1173,1251,,7
cmpdy4wgl006l1op1sligwy9t,cmpdy4wee00031op1tn23k2yz,张杰,M,1178,1230,,7
cmpdy4wgl006m1op1w8rjcgr8,cmpdy4wee00031op1tn23k2yz,张芬,F,1179,1261,,7
cmpdy4wgl006j1op1u5g3ju73,cmpdy4wee00031op1tn23k2yz,张艳,M,1175,1241,,7
cmpdy4wgl006i1op1foehrfsx,cmpdy4wee00031op1tn23k2yz,张兰,F,1175,1257,,7
cmpdy4wgl006y1op1gbljmqzy,cmpdy4wee00031op1tn23k2yz,张磊,M,1177,1254,,7
cmpdy4wgl00661op1horr4a16,cmpdy4wee00031op1tn23k2yz,张荷,F,1177,1249,,7
cmpdy4wgl005x1op1aapwhgn1,cmpdy4wee00031op1tn23k2yz,张雪,F,1173,1252,,7
cmpdy4wgl005w1op1prlc6bg7,cmpdy4wee00031op1tn23k2yz,张青,F,1174,1238,,7
cmpdy4wgl006d1op1ao1oqsmi,cmpdy4wee00031op1tn23k2yz,张霞,M,1175,1257,,7
cmpdy4wgl00621op119kaka27,cmpdy4wee00031op1tn23k2yz,张平,M,1177,1259,,7
cmpdy4wgl005p1op1a9lptqu9,cmpdy4wee00031op1tn23k2yz,张雪,F,1179,1255,,7
cmpdy4wgl00671op136ifresr,cmpdy4wee00031op1tn23k2yz,张红,F,1178,1230,,7
cmpdy4wgl00611op13ujr60kw,cmpdy4wee00031op1tn23k2yz,张磊,M,1177,1260,,7
cmpdy4wgl00721op1k9inb3og,cmpdy4wee00031op1tn23k2yz,张勇,M,1177,1239,,7
cmpdy4wgl005q1op1fjfdkjv2,cmpdy4wee00031op1tn23k2yz,张秀兰,M,1175,1252,,7
cmpdy4wgl00701op17uipvn7w,cmpdy4wee00031op1tn23k2yz,张涛,M,1178,1245,,7
cmpdy4wgl00781op12c7wp6bs,cmpdy4wee00031op1tn23k2yz,张杰,M,1170,1251,,7
cmpdy4wgl005o1op1hbxyzebd,cmpdy4wee00031op1tn23k2yz,张军,M,1172,1254,,7
cmpdy4wgl005u1op13kpod1pr,cmpdy4wee00031op1tn23k2yz,张军,M,1180,1263,,7
cmpdy4wgl005v1op1njtm496x,cmpdy4wee00031op1tn23k2yz,张红,F,1174,1237,,7
cmpdy4wgl00631op1zwe3ql8v,cmpdy4wee00031op1tn23k2yz,张霞,M,1174,1226,,7
cmpdy4wgl00641op16zovx89w,cmpdy4wee00031op1tn23k2yz,张珍,F,1172,1240,,7
cmpdy4wgl00681op1v828086c,cmpdy4wee00031op1tn23k2yz,张艳,M,1173,1223,,7
cmpdy4wgl006b1op138x7n1ub,cmpdy4wee00031op1tn23k2yz,张珍,F,1173,1250,,7
cmpdy4wgl006c1op1nf6q51vs,cmpdy4wee00031op1tn23k2yz,张莹,F,1180,1256,,7
cmpdy4wgl006v1op1s8noemup,cmpdy4wee00031op1tn23k2yz,张英,F,1180,1264,,7
cmpdy4wgl006w1op1m15evzg6,cmpdy4wee00031op1tn23k2yz,张月,F,1170,1244,,7
cmpdy4wgl00731op1spb2egp9,cmpdy4wee00031op1tn23k2yz,张青,F,1179,1259,,7
cmpdy4wgl005l1op1yqvkxqxm,cmpdy4wee00031op1tn23k2yz,张香,F,1180,1248,,7
cmpdy4wgl005z1op156ohcqms,cmpdy4wee00031op1tn23k2yz,张丽,M,1173,1237,,7
cmpdy4wgl006e1op16bo4lyj3,cmpdy4wee00031op1tn23k2yz,张军,M,1172,1222,,7
cmpdy4wgl00761op1e03e0t6v,cmpdy4wee00031op1tn23k2yz,张燕,F,1179,1248,,7
cmpdy4wgl006x1op1pgccbnhn,cmpdy4wee00031op1tn23k2yz,张芬,F,1177,1241,,7
cmpdy4wgl006a1op1oebi1aki,cmpdy4wee00031op1tn23k2yz,张杰,M,1177,1229,,7
cmpdy4wgl00771op15oqzvr1p,cmpdy4wee00031op1tn23k2yz,张燕,F,1178,1260,,7
cmpdy4wgl006u1op13gb5nk56,cmpdy4wee00031op1tn23k2yz,张荷,F,1174,1255,,7
cmpdy4wgl00601op1xzkpskcb,cmpdy4wee00031op1tn23k2yz,张艳,M,1179,1262,,7
